Similar_Facility_Unit_ID,Facility_Unit.ID,State,Facility_Name,Facility_ID,Unit_ID,Associated_Stacks,Year,Program_Code,Primary_Rep_Info,EPA_Region,NERC_Region,County,County_Code,FIPS_Code,Source_Category,Latitude,Longitude,Owner_Operator,SO2_Phase,NOx_Phase,Unit_Type,Primary_Fuel_Type,Secondary_Fuel_Type,SO2_Controls,NOx_Controls,PM_Controls,Hg_Controls,Commercial_Operation_Date,Operating_Status,Max_Hourly_HI_Rate,Associated_Generators_Capacity,Estimated_NameplateCapacity_MW,min_gen_MW,mean_gen_MW,max_gen_MW,avg_operating_time,non_zero_count,unique_day_hours,start_date,end_date,non_zero_count_CO2,mean_CO2_tons_MW,mean_NOx_lbs_MW,mean_SO2_lbs_MW,mean_Heat_Input_mmBtu,Total_Expected_Points,Time_Slots_Above_3,Reliability_Score_3,Reliability_Label,date_range,CF,mean_CO2_tons_MW_estimate,mean_NOx_lbs_MW_estimate,mean_SO2_lbs_MW_estimate,mean_HI_mmBtu_per_MW,Operation_Year,Age_of_Facility
,10030_3,DE,Energy Center Dover LLC,10030,3,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI",2656,3,,Kent County,DE001,1,Electric Utility,39.1467,-75.5461,"NRG Energy, Inc (Owner)|NRG Energy, Inc (Operator)",Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Water Injection,,,2001-06-01,Operating,500,KD-2 (50),50,0,37.1459211505083,53,0.847117530374411,7841,4071,2013-03-15,2023-12-26,8066,0.543070416095107,0.721311729229455,0.0054168160230159,329.324746094719,8208,962,11.7202729044834,Low,3938,,,,,,2001,23
,10034_S-100,CA,"Calpine Gilroy Cogen, LP",10034,S-100,,2013,ARP,602934,9,,Santa Clara County,CA085,85,Cogeneration,37.0001,-121.5367,Calpine Corporation (Owner)|Calpine Corporation (Operator),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners,,,1987-09-01,Operating,1150,"GEN1 (90), GEN2 (40)",130,0,89.8118737849559,121,0.912851054284432,13372,5462,2013-01-21,2023-11-22,13374,0.481584700085918,0.21730841431169,0.00486253771404594,727.824333781965,7944,1833,23.0740181268882,Low,3957,,,,,,1987,37
,10043_1001,NJ,Logan Generating Plant,10043,1001,,2022,"CSNOX, CSOSG3, CSSO2G1, MATS, RGGI",1560,2,,Gloucester County,NJ015,15,Electric Utility,39.7914,-75.4081,Logan Generating Co. LP (Owner)|NAES Corporation (Operator),,,Dry bottom wall-fired boiler,Coal,,Dry Lime FGD,Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,Baghouse,,1994-08-01,Operating (Retired 06/01/2022),2650,GEN1 (230),230,,,,,,,,,,,,,,,,,,,,,,,,1994,30
,1004_CTG1,IN,Edwardsport Generating Station,1004,CTG1,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2",606799,5,ECAR,Knox County,IN083,83,Electric Utility,38.8067,-87.2472,"Duke Energy Indiana, Inc. (Owner/Operator)|Duke Energy Indiana, Inc. (Owner/Operator)",Phase 2,,Integrated gasification combined cycle,Coal,Pipeline Natural Gas,,,,,2012-03-30,Operating,3200,"CT1 (234), ST (321.9)",555.9,0,211.150824943536,241,0.997875690642984,78288,8784,2013-01-06,2023-12-31,78363,1.01095965965982,0.495761755349496,0.0449694121453528,1832.52808514846,8784,8760,99.7267759562842,High,4011,,,,,,2012,12
,1004_CTG2,IN,Edwardsport Generating Station,1004,CTG2,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2",606799,5,ECAR,Knox County,IN083,83,Electric Utility,38.8067,-87.2472,"Duke Energy Indiana, Inc. (Owner/Operator)|Duke Energy Indiana, Inc. (Owner/Operator)",Phase 2,,Integrated gasification combined cycle,Coal,Pipeline Natural Gas,,Selective Catalytic Reduction,,,2012-05-18,Operating,3200,"ST (321.9), CT2 (234)",555.9,0,209.749023996669,241,0.997866326583728,76775,8784,2013-01-01,2023-12-31,76843,1.03796888780052,0.512270036258945,0.0549442503062113,1868.43372472802,8784,8760,99.7267759562842,High,4016,,,,,,2012,12
,10071_BLR01A,VA,Virginia Renewable Power-Portsmouth LLC,10071,BLR01A,CS001,2019,"CSNOX, CSOSG2, CSSO2G1, MATS",600940,3,SERC,Portsmouth city,VA740,740,Cogeneration,36.8703,-76.3519,Virginia Renewable Power-Portsmouth LLC (Owner)|Virginia Renewable Power-Portsmouth LLC (Operator),,,Stoker,Coal,,Dry Lime FGD,Overfire Air,Baghouse,,1988-06-01,Operating (Retired 07/01/2019),249,GEN1 (54.2),54.2,,,,,,,,,,,,,,,,,,,,,,,,1988,36
,10071_BLR01B,VA,Virginia Renewable Power-Portsmouth LLC,10071,BLR01B,CS001,2019,"CSNOX, CSOSG2, CSSO2G1, MATS",600940,3,SERC,Portsmouth city,VA740,740,Cogeneration,36.8703,-76.3519,Virginia Renewable Power-Portsmouth LLC (Owner)|Virginia Renewable Power-Portsmouth LLC (Operator),,,Stoker,Coal,,Dry Lime FGD,Overfire Air,Baghouse,,1988-06-01,Operating (Retired 07/01/2019),249,GEN1 (54.2),54.2,,,,,,,,,,,,,,,,,,,,,,,,1988,36
,10071_BLR01C,VA,Virginia Renewable Power-Portsmouth LLC,10071,BLR01C,CS001,2019,"CSNOX, CSOSG2, CSSO2G1, MATS",600940,3,SERC,Portsmouth city,VA740,740,Cogeneration,36.8703,-76.3519,Virginia Renewable Power-Portsmouth LLC (Owner)|Virginia Renewable Power-Portsmouth LLC (Operator),,,Stoker,Coal,,Dry Lime FGD,Overfire Air,Baghouse,,1988-06-01,Operating (Retired 07/01/2019),249,GEN1 (54.2),54.2,,,,,,,,,,,,,,,,,,,,,,,,1988,36
,10071_BLR02A,VA,Virginia Renewable Power-Portsmouth LLC,10071,BLR02A,CS002,2019,"CSNOX, CSOSG2, CSSO2G1, MATS",600940,3,SERC,Portsmouth city,VA740,740,Cogeneration,36.8703,-76.3519,Virginia Renewable Power-Portsmouth LLC (Owner)|Virginia Renewable Power-Portsmouth LLC (Operator),,,Stoker,Coal,,Dry Lime FGD,Overfire Air,Baghouse,,1988-06-01,Operating (Retired 07/01/2019),249,GEN2 (54.2),54.2,,,,,,,,,,,,,,,,,,,,,,,,1988,36
,10071_BLR02B,VA,Virginia Renewable Power-Portsmouth LLC,10071,BLR02B,CS002,2019,"CSNOX, CSOSG2, CSSO2G1, MATS",600940,3,SERC,Portsmouth city,VA740,740,Cogeneration,36.8703,-76.3519,Virginia Renewable Power-Portsmouth LLC (Owner)|Virginia Renewable Power-Portsmouth LLC (Operator),,,Stoker,Coal,,Dry Lime FGD,Overfire Air,Baghouse,,1988-06-01,Operating (Retired 07/01/2019),249,GEN2 (54.2),54.2,,,,,,,,,,,,,,,,,,,,,,,,1988,36
,10071_BLR02C,VA,Virginia Renewable Power-Portsmouth LLC,10071,BLR02C,CS002,2019,"CSNOX, CSOSG2, CSSO2G1, MATS",600940,3,SERC,Portsmouth city,VA740,740,Cogeneration,36.8703,-76.3519,Virginia Renewable Power-Portsmouth LLC (Owner)|Virginia Renewable Power-Portsmouth LLC (Operator),,,Stoker,Coal,,Dry Lime FGD,Overfire Air,Baghouse,,1988-06-01,Operating (Retired 07/01/2019),249,GEN2 (54.2),54.2,,,,,,,,,,,,,,,,,,,,,,,,1988,36
,10075_1,MN,Taconite Harbor Energy Center,10075,1,,2023,"ARP, CSNOX, CSSO2G2, MATS",610522,5,MAPP,Cook County,MN031,31,Electric Utility,47.5314,-90.9111,"Minnesota Power, Inc. (Owner)|Minnesota Power, Inc. (Operator)",Phase 2,Phase 2 Group 1,Tangentially-fired,Coal,,Other,Overfire Air|Selective Non-catalytic Reduction,Electrostatic Precipitator,,2002-05-10,Operating (Retired 03/31/2023),900,GEN1 (84),84,0,50.5748549982941,80,0.997851927669737,29016,8760,2013-01-01,2016-09-27,29282,1.28157462648809,1.49289549087293,4.58709884177073,617.997950733538,8760,7810,89.1552511415525,Medium,1365,,,,,,2002,22
,10075_2,MN,Taconite Harbor Energy Center,10075,2,,2023,"ARP, CSNOX, CSSO2G2, MATS",610522,5,MAPP,Cook County,MN031,31,Electric Utility,47.5314,-90.9111,"Minnesota Power, Inc. (Owner)|Minnesota Power, Inc. (Operator)",Phase 2,Phase 2 Group 1,Tangentially-fired,Coal,,Other,Overfire Air|Selective Non-catalytic Reduction,Electrostatic Precipitator,,2002-02-01,Operating (Retired 03/31/2023),900,GEN2 (84),84,0,49.400636310766,80,0.998331223700865,28981,8760,2013-01-01,2016-09-13,29231,1.14436402706315,1.38089641004688,4.06782664903084,539.020659881632,8760,7289,83.2077625570776,Medium,1351,,,,,,2002,22
,10075_3,MN,Taconite Harbor Energy Center,10075,3,,2015,"ARP, CSNOX, CSSO2G2",606865,5,MAPP,Cook County,MN031,31,Electric Utility,47.5314,-90.9111,"Minnesota Power, Inc. (Owner)|Minnesota Power, Inc. (Operator)",Phase 2,Phase 2 Group 1,Tangentially-fired,Coal,,,,Electrostatic Precipitator,,2002-03-15,Operating (Retired 05/26/2015),900,GEN3 (84),84,0,62.0210060497423,80,0.997370042572261,17603,8515,2013-01-01,2015-05-26,17836,1.12573919954769,3.64047429594861,5.73739573825482,665.709959220255,8568,2832,33.0532212885154,Low,875,,,,,,2002,22
,1007_CT3,IN,Noblesville,1007,CT3,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2",606799,5,ECAR,Hamilton County,IN057,57,Electric Utility,40.0969,-85.9714,Duke Energy Corporation (Owner/Operator)|Duke Energy Corporation (Owner/Operator),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners|Selective Catalytic Reduction,,,2003-04-17,Operating,833.9,"1 (50), 3 (76), 2 (50)",176,0,60.2847498564669,78,0.987196056304567,50388,8784,2013-01-02,2023-12-31,50511,0.615792334952248,0.155372673883423,0.00621793682388065,624.663445605908,8784,8420,95.856102003643,High,4015,,,,,,2003,21
,1007_CT4,IN,Noblesville,1007,CT4,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2",606799,5,ECAR,Hamilton County,IN057,57,Electric Utility,40.0969,-85.9714,Duke Energy Corporation (Owner/Operator)|Duke Energy Corporation (Owner/Operator),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners|Selective Catalytic Reduction,,,2003-04-24,Operating,833.9,"4 (76), 1 (50), 2 (50)",176,0,59.8465652073909,80,0.98636720846431,52057,8784,2013-01-02,2023-12-28,52172,0.626176017794489,0.18210954468079,0.00632279254335325,630.582493693935,8784,8550,97.3360655737705,High,4012,,,,,,2003,21
,1007_CT5,IN,Noblesville,1007,CT5,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2",606799,5,ECAR,Hamilton County,IN057,57,Electric Utility,40.0969,-85.9714,Duke Energy Corporation (Owner/Operator)|Duke Energy Corporation (Owner/Operator),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners|Selective Catalytic Reduction,,,2003-05-11,Operating,833.9,"5 (76), 1 (50), 2 (50)",176,0,58.6155032270855,78,0.987458422362711,45290,8784,2013-01-01,2023-12-28,45397,0.624761826899083,0.165960551949516,0.00630840431001049,616.210498006476,8784,8389,95.5031876138434,High,4013,,,,,,2003,21
,1008_2,IN,R Gallagher,1008,2,,2021,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS",608759,5,ECAR,Floyd County,IN043,43,Electric Utility,38.2636,-85.8381,"Duke Energy Indiana, LLC (Owner)|Duke Energy Indiana, LLC (Operator)",Table 1,Phase 1 Group 1,Dry bottom wall-fired boiler,Coal,Diesel Oil,"Dry Sorbent Injection (Retired Jun 01, 2021)","Low NOx Burner Technology w/ Overfire Air (Retired Jun 01, 2021)","Baghouse (Retired Jun 01, 2021)",,1958-12-01,Operating (Retired 06/01/2021),1540,2 (150),150,0,98.9413307112422,156,0.994888561127499,17245,8169,2013-01-01,2021-02-18,18298,0.96757882145736,3.40079420335464,7.15114233279226,933.07722244073,8424,2698,32.0275403608737,Low,2970,,,,,,1958,66
,1008_4,IN,R Gallagher,1008,4,,2021,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS",608759,5,ECAR,Floyd County,IN043,43,Electric Utility,38.2636,-85.8381,"Duke Energy Indiana, LLC (Owner)|Duke Energy Indiana, LLC (Operator)",Table 1,Phase 1 Group 1,Dry bottom wall-fired boiler,Coal,Diesel Oil,"Dry Sorbent Injection (Retired Jun 01, 2021)","Low NOx Burner Technology w/ Overfire Air (Retired Jun 01, 2021)","Baghouse (Retired Jun 01, 2021)",,1961-03-01,Operating (Retired 06/01/2021),1590,4 (150),150,0,98.7686877599899,155,0.993285642253876,14820,7860,2013-02-04,2021-05-12,15849,0.984162482196005,3.26982695537642,7.29517721675694,947.411459031892,8208,1783,21.7227095516569,Low,3019,,,,,,1961,63
,10099_001001,NJ,Pedricktown Cogeneration Plant,10099,001001,,2022,"ARP, CSNOX, CSOSG3, CSSO2G1, RGGI","609934 (Ended Apr 18, 2022), 601710 (Started Apr 18, 2022)",2,,Salem County,NJ033,33,Electric Utility,39.7661,-75.4242,"Pedricktown Cogeneration Co., LP (Owner)|EthosEnergy Group Power Plant Services (Operator)",Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Ammonia Injection|Steam Injection,,,1992-03-15,Operating (Retired 06/01/2022),1325,"GEN2 (42.4), GEN1 (92.2)",134.6,0,110.43024364866,141,0.950094511402064,11431,5886,2013-01-02,2022-05-31,11533,0.484919650877204,0.305155936123971,0.00498752033618302,895.315763461372,7584,1400,18.4599156118143,Low,3436,,,,,,1992,32
,1010_1,IN,Wabash River Gen Station,1010,1,"MS0001, MS0002, MS0003, MS0004, MS0005",2013,"ARP, CAIRNOX, CAIROS, CAIRSO2",606799,5,,Vigo County,IN167,167,Electric Utility,39.53,-87.4247,Wabash Valley Power Alliance (Owner)|Duke Energy Corporation (Operator),Table 1,Phase 1 Group 1,Integrated gasification combined cycle,Other Gas,Pipeline Natural Gas,Other,Steam Injection,,,1953-12-16,Operating,2200,A (192),192,0,234.711325966851,280,0.993693764798737,20202,8065,2013-01-01,2016-11-23,20251,0.967420178514837,0.569732070483107,0.660893886972612,1740.96574486977,8232,4026,48.9067055393586,Low,1422,,,,,,1953,71
,1010_2,IN,Wabash River Gen Station,1010,2,CS0005,2016,"ARP, CSNOX, CSSO2G1, MATS","607682 (Ended Aug 11, 2016)",5,,Vigo County,IN167,167,Electric Utility,39.53,-87.4247,"Duke Energy Indiana, Inc. (Owner/Operator) (Ended Jun 29, 2016)|Duke Energy Indiana, LLC (Owner) (Started Jun 29, 2016)|Duke Energy Indiana, Inc. (Owner/Operator) (Ended Jun 29, 2016)|Duke Energy Indiana, LLC (Operator) (Started Jun 29, 2016)",Table 1,Phase 1 Group 1,Dry bottom wall-fired boiler,Coal,Diesel Oil,,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,,1953-08-01,Operating (Retired 04/16/2016),1000,2 (112.5),112.5,1,58.6658191064294,90,0.992509989102797,8259,5748,2013-01-15,2015-08-01,8259,0.84991923982655,3.0544022962885,26.2276837928593,485.976816563749,6192,353,5.70090439276486,Low,928,,,,,,1953,71
,1010_3,IN,Wabash River Gen Station,1010,3,CS0005,2016,"ARP, CSNOX, CSSO2G1, MATS","607682 (Ended Aug 11, 2016)",5,,Vigo County,IN167,167,Electric Utility,39.53,-87.4247,"Duke Energy Indiana, Inc. (Owner/Operator) (Ended Jun 29, 2016)|Duke Energy Indiana, LLC (Owner) (Started Jun 29, 2016)|Duke Energy Indiana, Inc. (Owner/Operator) (Ended Jun 29, 2016)|Duke Energy Indiana, LLC (Operator) (Started Jun 29, 2016)",Table 1,Phase 1 Group 1,Dry bottom wall-fired boiler,Coal,Diesel Oil,,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,,1954-09-01,Operating (Retired 04/16/2016),1100,3 (123.3),123.3,1,61.9402527075812,92,0.994691335740072,11080,6958,2013-01-20,2015-09-24,11080,0.838971263212191,2.96269434269078,25.8182092706084,506.491712184115,7320,766,10.4644808743169,Low,977,,,,,,1954,70
,1010_4,IN,Wabash River Gen Station,1010,4,CS0005,2016,"ARP, CSNOX, CSSO2G1, MATS","607682 (Ended Aug 11, 2016)",5,,Vigo County,IN167,167,Electric Utility,39.53,-87.4247,"Duke Energy Indiana, Inc. (Owner/Operator) (Ended Jun 29, 2016)|Duke Energy Indiana, LLC (Owner) (Started Jun 29, 2016)|Duke Energy Indiana, Inc. (Owner/Operator) (Ended Jun 29, 2016)|Duke Energy Indiana, LLC (Operator) (Started Jun 29, 2016)",Phase 2,Phase 2 Group 1,Dry bottom wall-fired boiler,Coal,Diesel Oil,,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,,1955-01-01,Operating (Retired 04/16/2016),1100,4 (112.5),112.5,1,60.1807969639469,93,0.996799240986717,13175,7331,2013-01-20,2015-11-13,13175,0.829710119538595,2.7679351744648,25.3359663115066,486.672744895636,7536,1101,14.609872611465,Low,1027,,,,,,1955,69
,1010_5,IN,Wabash River Gen Station,1010,5,CS0005,2016,"ARP, CSNOX, CSSO2G1, MATS","607682 (Ended Aug 11, 2016)",5,,Vigo County,IN167,167,Electric Utility,39.53,-87.4247,"Duke Energy Indiana, Inc. (Owner/Operator) (Ended Jun 29, 2016)|Duke Energy Indiana, LLC (Owner) (Started Jun 29, 2016)|Duke Energy Indiana, Inc. (Owner/Operator) (Ended Jun 29, 2016)|Duke Energy Indiana, LLC (Operator) (Started Jun 29, 2016)",Table 1,Phase 1 Group 1,Dry bottom wall-fired boiler,Coal,Diesel Oil,,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,,1956-05-01,Operating (Retired 04/16/2016),1150,5 (125),125,1,56.3056263477749,103,0.991999607920016,5101,4328,2013-01-01,2015-02-23,5101,0.877173465870515,3.09767390630712,26.8402087390979,481.382562830818,4944,0,0,Low,783,,,,,,1956,68
,1010_6,IN,Wabash River Gen Station,1010,6,CS0005,2016,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS","607682 (Ended Aug 11, 2016)",5,,Vigo County,IN167,167,Electric Utility,39.53,-87.4247,"Duke Energy Indiana, Inc. (Owner/Operator) (Ended Jun 29, 2016)|Duke Energy Indiana, LLC (Owner) (Started Jun 29, 2016)|Duke Energy Indiana, Inc. (Owner/Operator) (Ended Jun 29, 2016)|Duke Energy Indiana, LLC (Operator) (Started Jun 29, 2016)",Table 1,Phase 1 Group 1,Tangentially-fired,Coal,Diesel Oil,,Low NOx Burner Technology w/ Separated OFA,Electrostatic Precipitator,,1968-08-01,Operating (Retired 12/07/2016),3700,6 (387),387,1,239.011013319527,350,0.997946062973596,21247,8558,2013-01-01,2016-04-06,21247,0.809600722845018,2.70647084448297,24.4978821395173,1886.0007329976,8664,4552,52.539242843952,Low,1191,,,,,,1968,56
